Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Firefox 61.0,Basic test suite for CURA,2018-08-30 18:20:16,2018-08-30 18:20:31,15.344s,PASSED
,,,,,,
Test Cases/Basic,Firefox 61.0,,2018-08-30 18:20:17,2018-08-30 18:20:31,14.570s,PASSED
openBrowser,Firefox 61.0,,2018-08-30 18:20:17,2018-08-30 18:20:24,7.120s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-30 18:20:24,2018-08-30 18:20:27,2.984s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:27,2018-08-30 18:20:28,0.358s,PASSED
setText,Firefox 61.0,,2018-08-30 18:20:28,2018-08-30 18:20:28,0.152s,PASSED
setText,Firefox 61.0,,2018-08-30 18:20:28,2018-08-30 18:20:28,0.125s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:28,2018-08-30 18:20:28,0.356s,PASSED
selectOptionByValue,Firefox 61.0,,2018-08-30 18:20:28,2018-08-30 18:20:29,0.433s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:29,2018-08-30 18:20:29,0.239s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:29,2018-08-30 18:20:29,0.245s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:29,2018-08-30 18:20:29,0.306s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:29,2018-08-30 18:20:30,0.253s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:30,2018-08-30 18:20:30,0.256s,PASSED
setText,Firefox 61.0,,2018-08-30 18:20:30,2018-08-30 18:20:30,0.112s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:30,2018-08-30 18:20:30,0.365s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:30,2018-08-30 18:20:31,0.273s,PASSED
click,Firefox 61.0,,2018-08-30 18:20:31,2018-08-30 18:20:31,0.258s,PASSED
closeBrowser,Firefox 61.0,,2018-08-30 18:20:31,2018-08-30 18:20:31,0.259s,PASSED
